sample_path,group,total_params,changed_params,change_ops,feature_combo,matched_feature_combo,correct_trials,total_trials,accuracy
pandas/melt@1.0.5-1.1.0/melt#1YY/pd.melt_df_@1.0.5-1.1.0_L3_tempLst1.json,nonsemantic,7,2,2,"(7,2,2)",yes,15,25,0.6000000000
pandas/pandas.DataFrame.resample@1.5.3-2.0.0/pandas.DataFrame.resample#1YY/DataFrame.resample__3T__@1.5.3-2.0.0_L4_tempLst1.json,semantic,13,7,8,"(13,7,8)",no,15,25,0.6000000000
pandas/pandas.Series.resample@1.5.3-2.0.0/pandas.Series.resample#1YY/series.resample__3T__@1.5.3-2.0.0_L4_tempLst1.json,semantic,13,7,8,"(13,7,8)",no,15,25,0.6000000000
pandas/read_csv@1.2.5-1.3.0/read_csv#1YY/pd.read_csv__._dev.csv__@1.2.5-1.3.0_L2_tempLst1.json,nonsemantic,50,9,12,"(50,9,12)",no,15,25,0.6000000000
pandas/read_csv@1.5.3-2.0.0/read_csv#1YY/pd.read_csv__._dev.csv__@1.5.3-2.0.0_L2_tempLst1.json,semantic,54,7,7,"(54,7,7)",no,15,25,0.6000000000
pandas/testing.assert_extension_array_equal@1.5.3-2.0.0/testing.assert_extension_array_equal#1YY/tm.assert_extension_array_equal_b__c_@1.5.3-2.0.0_L5_tempLst1.json,semantic,8,4,5,"(8,4,5)",no,15,25,0.6000000000
pandas/testing.assert_frame_equal@1.0.5-1.1.0/testing.assert_frame_equal#1YY/assert_frame_equal_df1__df1_@1.0.5-1.1.0_L5_tempLst1.json,nonsemantic,16,3,4,"(16,3,4)",no,15,25,0.6000000000
pandas/testing.assert_frame_equal@1.5.3-2.0.0/testing.assert_frame_equal#1YY/assert_frame_equal_df1__df1_@1.5.3-2.0.0_L5_tempLst1.json,semantic,18,12,12,"(18,12,12)",no,15,25,0.6000000000
pandas/testing.assert_index_equal@1.5.3-2.0.0/testing.assert_index_equal#1YY/tm.assert_index_equal_a__b_@1.5.3-2.0.0_L5_tempLst1.json,semantic,11,7,7,"(11,7,7)",no,22,25,0.8800000000
pandas/testing.assert_series_equal@1.0.5-1.1.0/testing.assert_series_equal#1YY/assert_series_equal_df1__df1_@1.0.5-1.1.0_L5_tempLst1.json,nonsemantic,14,3,4,"(14,3,4)",no,15,25,0.6000000000
pandas/testing.assert_series_equal@1.1.5-1.2.0/testing.assert_series_equal#1YY/tm.assert_series_equal_a__b_@1.1.5-1.2.0_L5_tempLst1.json,nonsemantic,15,3,4,"(15,3,4)",no,15,25,0.6000000000
pandas/testing.assert_series_equal@1.5.3-2.0.0/testing.assert_series_equal#1YY/tm.assert_series_equal_a__b_@1.5.3-2.0.0_L5_tempLst1.json,semantic,18,11,11,"(18,11,11)",no,15,25,0.6000000000
plotly/plotly.express.area@4.2.1-4.3.0/plotly.express.area#1YY/px.area__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,28,17,18,"(28,17,18)",no,15,25,0.6000000000
plotly/plotly.express.bar@4.14.3-5.0.0/plotly.express.bar#1YY/px.bar__@4.14.3-5.0.0_L3_tempLst1.json,nonsemantic,38,34,37,"(38,34,37)",no,15,25,0.6000000000
plotly/plotly.express.bar@4.2.1-4.3.0/plotly.express.bar#1YY/px.bar__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,34,28,29,"(34,28,29)",no,15,25,0.6000000000
plotly/plotly.express.bar@5.4.0-5.5.0/plotly.express.bar#1YY/px.bar__@5.4.0-5.5.0_L3_tempLst1.json,nonsemantic,41,4,5,"(41,4,5)",no,15,25,0.6000000000
plotly/plotly.express.bar_polar@4.14.3-5.0.0/plotly.express.bar_polar#1YY/px.bar_polar__@4.14.3-5.0.0_L3_tempLst1.json,nonsemantic,28,24,27,"(28,24,27)",no,15,25,0.6000000000
plotly/plotly.express.bar_polar@4.3.0-4.4.0/plotly.express.bar_polar#1YY/px.bar_polar__@4.3.0-4.4.0_L3_tempLst1.json,nonsemantic,23,5,6,"(23,5,6)",no,15,25,0.6000000000
plotly/plotly.express.box@4.2.1-4.3.0/plotly.express.box#1YY/px.box__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,27,21,22,"(27,21,22)",no,15,25,0.6000000000
plotly/plotly.express.density_contour@4.2.1-4.3.0/plotly.express.density_contour#1YY/px.density_contour__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,31,24,25,"(31,24,25)",no,16,25,0.6400000000
plotly/plotly.express.density_contour@5.1.0-5.2.1/plotly.express.density_contour#1YY/px.density_contour__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,35,13,15,"(35,13,15)",no,15,25,0.6000000000
plotly/plotly.express.density_heatmap@4.2.1-4.3.0/plotly.express.density_heatmap#1YY/px.density_heatmap__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,30,24,25,"(30,24,25)",no,15,25,0.6000000000
plotly/plotly.express.density_heatmap@5.4.0-5.5.0/plotly.express.density_heatmap#1YY/px.density_heatmap__@5.4.0-5.5.0_L3_tempLst1.json,nonsemantic,34,4,5,"(34,4,5)",no,16,25,0.6400000000
plotly/plotly.express.histogram@4.14.3-5.0.0/plotly.express.histogram#1YY/px.histogram__@4.14.3-5.0.0_L3_tempLst1.json,nonsemantic,34,30,33,"(34,30,33)",no,15,25,0.6000000000
plotly/plotly.express.histogram@4.2.1-4.3.0/plotly.express.histogram#1YY/px.histogram__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,31,25,26,"(31,25,26)",no,15,25,0.6000000000
plotly/plotly.express.histogram@5.4.0-5.5.0/plotly.express.histogram#1YY/px.histogram__@5.4.0-5.5.0_L3_tempLst1.json,nonsemantic,37,4,5,"(37,4,5)",no,15,25,0.6000000000
plotly/plotly.express.imshow@4.13.0-4.14.0/plotly.express.imshow#1YY/px.imshow_img_rgb_@4.13.0-4.14.0_L4_tempLst1.json,nonsemantic,20,13,18,"(20,13,18)",no,15,25,0.6000000000
plotly/plotly.express.line@4.2.1-4.3.0/plotly.express.line#1YY/px.line__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,34,22,23,"(34,22,23)",no,15,25,0.6000000000
plotly/plotly.express.line@5.1.0-5.2.1/plotly.express.line#1YY/px.line__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,38,32,36,"(38,32,36)",no,15,25,0.6000000000
plotly/plotly.express.line_3d@5.1.0-5.2.1/plotly.express.line_3d#1YY/px.line_3d__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,35,27,31,"(35,27,31)",no,15,25,0.6000000000
plotly/plotly.express.line_geo@5.1.0-5.2.1/plotly.express.line_geo#1YY/px.line_geo__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,36,17,21,"(36,17,21)",no,15,25,0.6000000000
plotly/plotly.express.line_mapbox@4.3.0-4.4.0/plotly.express.line_mapbox#1YY/px.line_mapbox_us_cities___lat____lon__@4.3.0-4.4.0_L5_tempLst1.json,nonsemantic,20,4,6,"(20,4,6)",no,15,25,0.6000000000
plotly/plotly.express.line_polar@4.3.0-4.4.0/plotly.express.line_polar#1YY/px.line_polar__@4.3.0-4.4.0_L3_tempLst1.json,nonsemantic,29,5,6,"(29,5,6)",no,15,25,0.6000000000
plotly/plotly.express.line_polar@5.1.0-5.2.1/plotly.express.line_polar#1YY/px.line_polar__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,30,20,24,"(30,20,24)",no,15,25,0.6000000000
plotly/plotly.express.line_ternary@5.1.0-5.2.1/plotly.express.line_ternary#1YY/px.line_ternary__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,24,17,21,"(24,17,21)",no,15,25,0.6000000000
plotly/plotly.express.scatter@4.2.1-4.3.0/plotly.express.scatter#1YY/px.scatter__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,42,30,31,"(42,30,31)",no,16,25,0.6400000000
plotly/plotly.express.scatter@5.1.0-5.2.1/plotly.express.scatter#1YY/px.scatter__@5.1.0-5.2.1_L3_tempLst1.json,nonsemantic,46,10,12,"(46,10,12)",no,15,25,0.6000000000
plotly/plotly.express.scatter_mapbox@4.3.0-4.4.0/plotly.express.scatter_mapbox#1YY/px.scatter_mapbox_df___centroid_lat____centroid_lon__@4.3.0-4.4.0_L3_tempLst1.json,nonsemantic,25,4,6,"(25,4,6)",no,15,25,0.6000000000
plotly/plotly.express.scatter_polar@4.3.0-4.4.0/plotly.express.scatter_polar#1YY/px.scatter_polar__@4.3.0-4.4.0_L3_tempLst1.json,nonsemantic,32,6,7,"(32,6,7)",no,15,25,0.6000000000
plotly/plotly.express.strip@4.2.1-4.3.0/plotly.express.strip#1YY/px.strip__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,25,19,20,"(25,19,20)",no,15,25,0.6000000000
plotly/plotly.express.sunburst@4.4.1-4.5.0/plotly.express.sunburst#1YY/px.sunburst__@4.4.1-4.5.0_L3_tempLst1.json,nonsemantic,21,17,18,"(21,17,18)",no,15,25,0.6000000000
plotly/plotly.express.treemap@4.4.1-4.5.0/plotly.express.treemap#1YY/px.treemap__@4.4.1-4.5.0_L3_tempLst1.json,nonsemantic,21,16,17,"(21,16,17)",no,15,25,0.6000000000
plotly/plotly.express.violin@4.2.1-4.3.0/plotly.express.violin#1YY/px.violin__@4.2.1-4.3.0_L3_tempLst1.json,nonsemantic,27,21,22,"(27,21,22)",no,15,25,0.6000000000
plotly/plotly.figure_factory.create_choropleth@2.4.1-2.5.0/plotly.figure_factory.create_choropleth#1YY/ff.create_choropleth_fips__values_@2.4.1-2.5.0_L11_tempLst1.json,semantic,18,9,9,"(18,9,9)",no,22,25,0.8800000000
plotly/plotly.figure_factory.create_violin@2.0.8-2.0.9/plotly.figure_factory.create_violin#1YY/create_violin_data_list_@2.0.8-2.0.9_L5_tempLst1.json,nonsemantic,10,3,4,"(10,3,4)",yes,15,25,0.6000000000
plotly/plotly.tools.FigureFactory.create_distplot@1.10.0-1.11.0/plotly.tools.FigureFactory.create_distplot#1YY/FF.create_distplot_hist_data__group_labels_@1.10.0-1.11.0_L9_tempLst1.json,nonsemantic,9,3,4,"(9,3,4)",no,16,25,0.6400000000
polars/polars.DataFrame.drop@0.14.17-0.14.18/polars.DataFrame.drop#1YY/df.drop__B__@0.14.17-0.14.18_L3_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,24,25,0.9600000000
polars/polars.DataFrame.fill_nan@0.16.18-0.17.0/polars.DataFrame.fill_nan#1YY/df.fill_nan_99_@0.16.18-0.17.0_L3_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,24,25,0.9600000000
polars/polars.DataFrame.replace@0.16.18-0.17.0/polars.DataFrame.replace#1YY/df.replace__foo___s_@0.16.18-0.17.0_L4_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
polars/polars.DataFrame.sample@0.16.18-0.17.0/polars.DataFrame.sample#1YY/df.sample__@0.16.18-0.17.0_L3_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,23,25,0.9200000000
polars/polars.DataFrame.shift_and_fill@0.16.18-0.17.0/polars.DataFrame.shift_and_fill#1NN/df.shift_and_fill_1__0_@0.16.18-0.17.0_L3_tempLst1.json,nonsemantic,2,2,2,"(2,2,2)",no,24,25,0.9600000000
polars/polars.DataFrame.write_json@0.15.18-0.16.1/polars.DataFrame.write_json#1YY/df.write_json__@0.15.18-0.16.1_L3_tempLst1.json,semantic,5,2,2,"(5,2,2)",yes,25,25,1.0000000000
polars/polars.Expr.clip@0.16.18-0.17.0/polars.Expr.clip#1YY/pl.col__a__.clip_1__10_@0.16.18-0.17.0_L2_tempLst1.json,semantic,2,2,2,"(2,2,2)",no,25,25,1.0000000000
polars/polars.Expr.is_between@0.16.18-0.17.0/polars.Expr.is_between#1YY/pl.col__num__.is_between_2__4_@0.16.18-0.17.0_L2_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
polars/polars.Expr.map_dict@0.16.18-0.17.0/polars.Expr.map_dict#1YY/pl.col__country_code__.map_dict_country_code_dict_@0.16.18-0.17.0_L4_tempLst1.json,semantic,3,1,1,"(3,1,1)",no,21,25,0.8400000000
polars/polars.Expr.reshape@0.16.18-0.17.0/polars.Expr.reshape#1YY/pl.col__foo__.reshape__3__3__@0.16.18-0.17.0_L2_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,23,25,0.9200000000
polars/polars.Expr.str.contains@0.16.18-0.17.0/polars.Expr.str.contains#1YY/a.str.contains__AA__@0.16.18-0.17.0_L3_tempLst1.json,semantic,8,6,6,"(8,6,6)",yes,23,25,0.9200000000
polars/polars.Expr.str.ends_with@0.16.18-0.17.0/polars.Expr.str.ends_with#1YY/a.str.ends_with__go__@0.16.18-0.17.0_L3_tempLst1.json,semantic,4,4,4,"(4,4,4)",no,23,25,0.9200000000
polars/polars.Expr.str.ljust@0.16.18-0.17.0/polars.Expr.str.ljust#1YY/context.str.ljust_10_@0.16.18-0.17.0_L4_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,25,25,1.0000000000
polars/polars.Expr.str.rjust@0.16.18-0.17.0/polars.Expr.str.rjust#1YY/context.str.rjust_10_@0.16.18-0.17.0_L4_tempLst1.json,semantic,4,2,2,"(4,2,2)",no,25,25,1.0000000000
polars/polars.Expr.str.starts_with@0.16.18-0.17.0/polars.Expr.str.starts_with#1YY/a.str.starts_with__app__@0.16.18-0.17.0_L3_tempLst1.json,semantic,4,4,4,"(4,4,4)",no,24,25,0.9600000000
polars/polars.Expr.str.strip@0.16.18-0.17.0/polars.Expr.str.strip#1YY/context.str.strip__@0.16.18-0.17.0_L4_tempLst1.json,semantic,2,2,2,"(2,2,2)",no,22,25,0.8800000000
polars/polars.any@0.16.18-0.17.0/polars.any#1YY/pl.any__a__@0.16.18-0.17.0_L2_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,24,25,0.9600000000
polars/polars.arange@0.16.18-0.17.0/polars.arange#1YY/pl.arange_0__3_@0.16.18-0.17.0_L2_tempLst1.json,semantic,5,2,2,"(5,2,2)",yes,25,25,1.0000000000
polars/polars.arg_where@0.16.18-0.17.0/polars.arg_where#1YY/pl.arg_where_pl.col__a_____2____0_@0.16.18-0.17.0_L2_tempLst1.json,nonsemantic,2,1,1,"(2,1,1)",no,23,25,0.9200000000
polars/polars.date_range@0.16.18-0.17.0/polars.date_range#1YY/pl.date_range_date_2022__1__1___date_2022__3__1__@0.16.18-0.17.0_L3_tempLst1.json,semantic,8,2,2,"(8,2,2)",yes,25,25,1.0000000000
polars/polars.expr.str.strptime@0.17.15-0.18.0/polars.expr.str.strptime#1YY/a.str.strptime_pl.Date_@0.17.15-0.18.0_L4_tempLst1.json,semantic,14,2,2,"(14,2,2)",no,15,25,0.6000000000
polars/polars.format@0.16.18-0.17.0/polars.format#1YY/pl.format__fo__@0.16.18-0.17.0_L2_tempLst1.json,semantic,1,1,1,"(1,1,1)",no,25,25,1.0000000000
polars/polars.from_pandas@0.16.2-0.16.3/polars.from_pandas#1YY/pl.from_pandas_pdf_@0.16.2-0.16.3_L4_tempLst1.json,semantic,4,1,1,"(4,1,1)",no,24,25,0.9600000000
polars/polars.read_json@0.15.18-0.16.1/polars.read_json#1YY/pl.read_json__._output.json__@0.15.18-0.16.1_L2_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
polars/polars.repeat@0.17.14-0.17.15/polars.repeat#1YY/pl.repeat__z___3_@0.17.14-0.17.15_L2_tempLst1.json,nonsemantic,5,2,2,"(5,2,2)",yes,15,25,0.6000000000
pydantic/pydantic.main.create_model@1.4-1.5/pydantic.main.create_model#1YY/create_model__DynamicModel__@1.4-1.5_L13_tempLst1.json,semantic,5,1,2,"(5,1,2)",yes,24,25,0.9600000000
rich/Columns@1.3.0-1.3.1/Columns#1YY/Columns_renderables_@1.3.0-1.3.1_L3_tempLst1.json,nonsemantic,6,4,5,"(6,4,5)",yes,15,25,0.6000000000
rich/Panel@2.3.1-3.0.0/Panel#1YY/Panel_None_@2.3.1-3.0.0_L2_tempLst1.json,nonsemantic,7,5,5,"(7,5,5)",yes,20,25,0.8000000000
rich/Panel@3.1.0-3.2.0/Panel#1YY/Panel_renderable_@3.1.0-3.2.0_L6_tempLst1.json,nonsemantic,8,2,2,"(8,2,2)",yes,18,25,0.7200000000
rich/Rule@2.3.1-3.0.0/Rule#1YY/Rule__@2.3.1-3.0.0_L2_tempLst1.json,nonsemantic,3,2,2,"(3,2,2)",no,24,25,0.9600000000
rich/Table.add_column@2.3.1-3.0.0/Table.add_column#1YY/table.add_column__@2.3.1-3.0.0_L3_tempLst1.json,nonsemantic,10,8,8,"(10,8,8)",no,25,25,1.0000000000
rich/install@12.5.1-12.6.0/install#1YY/pretty.install__@12.5.1-12.6.0_L2_tempLst1.json,nonsemantic,7,1,2,"(7,1,2)",no,15,25,0.6000000000
rich/rich.layout.Layout@12.5.1-12.6.0/rich.layout.Layout#1YY/Layout__@12.5.1-12.6.0_L2_tempLst1.json,semantic,7,1,1,"(7,1,1)",no,24,25,0.9600000000
rich/rich.syntax.Syntax.from_path@11.0.0-11.1.0/rich.syntax.Syntax.from_path#1YY/Syntax.from_path__._example.py__@11.0.0-11.1.0_L2_tempLst1.json,nonsemantic,13,11,12,"(13,11,12)",no,15,25,0.6000000000
rich/rich.syntax.Syntax@10.16.2-11.0.0/rich.syntax.Syntax#1YY/Syntax__print__hello_world______python__@10.16.2-11.0.0_L2_tempLst1.json,semantic,13,1,1,"(13,1,1)",no,15,25,0.6000000000
rich/traceback.install@7.0.0-7.1.0/traceback.install#1YY/install__@7.0.0-7.1.0_L3_tempLst1.json,semantic,6,1,1,"(6,1,1)",no,19,25,0.7600000000
scipy/scipy.linalg.expm@0.19.1-1.0.0/scipy.linalg.expm#1YY/expm_A_@0.19.1-1.0.0_L4_tempLst1.json,semantic,2,1,1,"(2,1,1)",no,25,25,1.0000000000
scipy/scipy.linalg.solve@1.10.1-1.11.0/scipy.linalg.solve#1YY/scipy.linalg.solve_a__b_@1.10.1-1.11.0_L4_tempLst1.json,semantic,9,7,7,"(9,7,7)",no,22,25,0.8800000000
scipy/scipy.linalg.solve_banded@1.8.1-1.9.0/scipy.linalg.solve_banded#1YY/solve_banded_l_and_u__ab__b_@1.8.1-1.9.0_L6_tempLst1.json,semantic,7,2,2,"(7,2,2)",yes,22,25,0.8800000000
scipy/scipy.linalg.solve_triangular@1.8.1-1.9.0/scipy.linalg.solve_triangular#1YY/solve_triangular_a__b_@1.8.1-1.9.0_L5_tempLst1.json,semantic,8,2,2,"(8,2,2)",yes,23,25,0.9200000000
scipy/scipy.optimize.dual_annealing@1.9.3-1.10.0/scipy.optimize.dual_annealing#1YY/dual_annealing_objective__bounds_@1.9.3-1.10.0_L12_tempLst1.json,semantic,15,1,1,"(15,1,1)",no,24,25,0.9600000000
scipy/scipy.optimize.fmin_cobyla@0.19.1-1.0.0/scipy.optimize.fmin_cobyla#1YY/fmin_cobyla_objective__x0__constraints_@0.19.1-1.0.0_L13_tempLst1.json,semantic,11,4,4,"(11,4,4)",no,19,25,0.7600000000
scipy/scipy.sparse.linalg.bicg@0.19.1-1.0.0/scipy.sparse.linalg.bicg#1YY/spla.bicg_A__b_@0.19.1-1.0.0_L6_tempLst1.json,semantic,8,3,3,"(8,3,3)",no,23,25,0.9200000000
scipy/scipy.sparse.linalg.bicgstab@0.19.1-1.0.0/scipy.sparse.linalg.bicgstab#1YY/bicgstab_A__b_@0.19.1-1.0.0_L8_tempLst1.json,semantic,8,3,3,"(8,3,3)",no,23,25,0.9200000000
scipy/scipy.sparse.linalg.cg@0.19.1-1.0.0/scipy.sparse.linalg.cg#1YY/cg_A__b_@0.19.1-1.0.0_L5_tempLst1.json,semantic,8,3,3,"(8,3,3)",no,22,25,0.8800000000
scipy/scipy.sparse.linalg.cgs@0.19.1-1.0.0/scipy.sparse.linalg.cgs#1YY/cgs_A__b_@0.19.1-1.0.0_L6_tempLst1.json,semantic,8,3,3,"(8,3,3)",no,23,25,0.9200000000
scipy/scipy.sparse.linalg.gmres@0.19.1-1.0.0/scipy.sparse.linalg.gmres#1YY/gmres_A__b_@0.19.1-1.0.0_L13_tempLst1.json,semantic,10,4,4,"(10,4,4)",no,23,25,0.9200000000
scipy/scipy.sparse.linalg.minres@0.19.1-1.0.0/scipy.sparse.linalg.minres#1YY/minres_A__b_@0.19.1-1.0.0_L6_tempLst1.json,semantic,11,5,5,"(11,5,5)",no,23,25,0.9200000000
scipy/scipy.sparse.linalg.qmr@0.19.1-1.0.0/scipy.sparse.linalg.qmr#1YY/qmr_A__b_@0.19.1-1.0.0_L6_tempLst1.json,semantic,9,4,4,"(9,4,4)",yes,24,25,0.9600000000
scipy/scipy.sparse.linalg.splu@0.19.1-1.0.0/scipy.sparse.linalg.splu#1YY/splu_A_@0.19.1-1.0.0_L4_tempLst1.json,semantic,7,4,4,"(7,4,4)",no,25,25,1.0000000000
scipy/scipy.spatial.distance.cdist@0.19.1-1.0.0/scipy.spatial.distance.cdist#1YY/cdist_XA__XB_@0.19.1-1.0.0_L5_tempLst1.json,semantic,7,4,4,"(7,4,4)",no,23,25,0.9200000000
scipy/scipy.spatial.distance.pdist@0.19.1-1.0.0/scipy.spatial.distance.pdist#1YY/pdist_X_@0.19.1-1.0.0_L3_tempLst1.json,semantic,6,4,4,"(6,4,4)",no,24,25,0.9600000000
scipy/scipy.stats.qmc.LatinHypercube@1.9.3-1.10.0/scipy.stats.qmc.LatinHypercube#1YY/qmc.LatinHypercube_d_@1.9.3-1.10.0_L7_tempLst1.json,nonsemantic,6,2,2,"(6,2,2)",yes,16,25,0.6400000000
scipy/scipy.stats.rv_continuous@1.10.1-1.11.0/scipy.stats.rv_continuous#1YY/stats.rv_continuous__@1.10.1-1.11.0_L2_tempLst1.json,semantic,10,2,2,"(10,2,2)",yes,21,25,0.8400000000
scipy/scipy.stats.rv_discrete.expect@0.16.1-0.17.0/scipy.stats.rv_discrete.expect#1YY/custom_distribution.expect__@0.16.1-0.17.0_L6_tempLst1.json,semantic,16,12,15,"(16,12,15)",no,15,25,0.6000000000
scipy/scipy.stats.rv_discrete@1.10.1-1.11.0/scipy.stats.rv_discrete#1YY/rv_discrete__@1.10.1-1.11.0_L2_tempLst1.json,semantic,11,2,2,"(11,2,2)",no,24,25,0.9600000000
scipy/scipy.stats.shapiro@0.19.1-1.0.0/scipy.stats.shapiro#1YY/stats.shapiro_x_@0.19.1-1.0.0_L3_tempLst1.json,semantic,3,2,2,"(3,2,2)",no,25,25,1.0000000000
scipy/scipy.stats.ttest_ind@1.6.3-1.7.0/scipy.stats.ttest_ind#1YY/stats.ttest_ind_a__b_@1.6.3-1.7.0_L4_tempLst1.json,nonsemantic,8,3,4,"(8,3,4)",no,15,25,0.6000000000
sklearn/calibration.CalibratedClassifierCV@1.1.3-1.2.0/calibration.CalibratedClassifierCV#1YY/CalibratedClassifierCV__@1.1.3-1.2.0_L6_tempLst1.json,nonsemantic,5,1,2,"(5,1,2)",yes,15,25,0.6000000000
sklearn/cluster.AffinityPropagation@0.22.2-0.23.0/cluster.AffinityPropagation#1YY/AffinityPropagation__@0.22.2-0.23.0_L4_tempLst1.json,nonsemantic,8,8,8,"(8,8,8)",no,25,25,1.0000000000
sklearn/cluster.KMeans@0.22.2-0.23.0/cluster.KMeans#1YY/KMeans_2_@0.22.2-0.23.0_L4_tempLst1.json,nonsemantic,11,10,10,"(11,10,10)",no,24,25,0.9600000000
sklearn/cluster.SpectralBiclustering@0.22.2-0.23.0/cluster.SpectralBiclustering#1YY/SpectralBiclustering_2_@0.22.2-0.23.0_L4_tempLst1.json,nonsemantic,11,10,10,"(11,10,10)",no,24,25,0.9600000000
sklearn/cluster.SpectralCoclustering@0.22.2-0.23.0/cluster.SpectralCoclustering#1YY/SpectralCoclustering__@0.22.2-0.23.0_L4_tempLst1.json,nonsemantic,8,7,7,"(8,7,7)",no,22,25,0.8800000000
sklearn/datasets.make_blobs@0.22.2-0.23.0/datasets.make_blobs#1YY/make_blobs__@0.22.2-0.23.0_L2_tempLst1.json,nonsemantic,8,6,6,"(8,6,6)",yes,23,25,0.9200000000
sklearn/ensemble.AdaBoostClassifier@1.1.3-1.2.0/ensemble.AdaBoostClassifier#1YY/AdaBoostClassifier__@1.1.3-1.2.0_L4_tempLst1.json,nonsemantic,5,1,2,"(5,1,2)",yes,15,25,0.6000000000
sklearn/ensemble.AdaBoostRegressor@1.1.3-1.2.0/ensemble.AdaBoostRegressor#1YY/AdaBoostRegressor__@1.1.3-1.2.0_L4_tempLst1.json,nonsemantic,5,1,2,"(5,1,2)",yes,15,25,0.6000000000
sklearn/ensemble.BaggingClassifier@1.1.3-1.2.0/ensemble.BaggingClassifier#1YY/BaggingClassifier__@1.1.3-1.2.0_L5_tempLst1.json,nonsemantic,11,1,2,"(11,1,2)",no,16,25,0.6400000000
sklearn/ensemble.BaggingRegressor@1.1.3-1.2.0/ensemble.BaggingRegressor#1YY/BaggingRegressor__@1.1.3-1.2.0_L5_tempLst1.json,nonsemantic,11,1,2,"(11,1,2)",no,15,25,0.6000000000
sklearn/ensemble.GradientBoostingRegressor@0.23.2-0.24.0/ensemble.GradientBoostingRegressor#1YY/GradientBoostingRegressor__@0.23.2-0.24.0_L6_tempLst1.json,semantic,23,1,1,"(23,1,1)",no,20,25,0.8000000000
sklearn/ensemble.HistGradientBoostingRegressor@0.22.2-0.23.0/ensemble.HistGradientBoostingRegressor#1YY/HistGradientBoostingRegressor__@0.22.2-0.23.0_L5_tempLst1.json,nonsemantic,17,16,16,"(17,16,16)",no,19,25,0.7600000000
sklearn/linear_model.Lars@0.22.2-0.23.0/linear_model.Lars#1YY/linear_model.Lars__@0.22.2-0.23.0_L2_tempLst1.json,nonsemantic,10,10,10,"(10,10,10)",no,21,25,0.8400000000
sklearn/linear_model.LassoLars@0.22.2-0.23.0/linear_model.LassoLars#1YY/linear_model.LassoLars__@0.22.2-0.23.0_L2_tempLst1.json,nonsemantic,12,11,11,"(12,11,11)",no,23,25,0.9200000000
sklearn/linear_model.LinearRegression@1.1.3-1.2.0/linear_model.LinearRegression#1YY/LinearRegression__@1.1.3-1.2.0_L5_tempLst1.json,semantic,5,1,1,"(5,1,1)",no,20,25,0.8000000000
sklearn/linear_model.RANSACRegressor@0.17.1-0.18/linear_model.RANSACRegressor#1YY/RANSACRegressor__@0.17.1-0.18_L2_tempLst1.json,nonsemantic,11,1,2,"(11,1,2)",no,15,25,0.6000000000
sklearn/linear_model.RANSACRegressor@1.0.2-1.1.0/linear_model.RANSACRegressor#1YY/RANSACRegressor__@1.0.2-1.1.0_L5_tempLst1.json,nonsemantic,12,1,2,"(12,1,2)",no,15,25,0.6000000000
sklearn/linear_model.RANSACRegressor@1.2.2-1.3.0/linear_model.RANSACRegressor#1YY/RANSACRegressor__@1.2.2-1.3.0_L4_tempLst1.json,semantic,13,1,1,"(13,1,1)",no,25,25,1.0000000000
sklearn/linear_model.lasso_path@0.15.2-0.16.0/linear_model.lasso_path#1YY/lasso_path_X__y_@0.15.2-0.16.0_L5_tempLst1.json,semantic,13,6,8,"(13,6,8)",no,15,25,0.6000000000
sklearn/sklearn.cluster.SpectralClustering@0.21.3-0.22/sklearn.cluster.SpectralClustering#1YY/SpectralClustering_5_@0.21.3-0.22_L4_tempLst1.json,nonsemantic,13,11,12,"(13,11,12)",no,15,25,0.6000000000
sklearn/sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis@0.18.1-0.19.0/sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis#1YY/QuadraticDiscriminantAnalysis__@0.18.1-0.19.0_L5_tempLst1.json,nonsemantic,4,1,2,"(4,1,2)",no,16,25,0.6400000000
